temperature_c,cpu_usage_pct,memory_usage_pct,disk_io_mb_s,network_traffic_mb_s,power_consumption_w,latency_ms,error_rate_pct,failure
65.82,59.78,50.84,245.95,448.0,233.84,41.06,2.808,1
54.15,53.95,49.68,165.59,364.47,183.3,26.95,1.272,0
53.98,41.34,35.5,106.0,187.89,164.85,14.63,1.419,0
48.9,32.81,31.67,83.0,206.92,150.74,25.64,1.583,0
52.16,45.92,52.08,101.14,246.61,174.79,25.96,1.169,0
47.97,43.81,39.7,82.14,261.53,165.02,13.55,1.364,0
52.89,63.84,56.43,169.09,320.1,169.8,25.49,1.432,0
53.38,61.27,62.76,180.01,445.9,186.42,23.91,1.92,0
62.0,67.14,60.46,142.5,405.74,193.28,24.36,1.53,0
56.7,41.72,41.06,106.41,253.03,158.55,21.71,1.312,0
54.31,53.62,67.08,163.12,423.2,166.11,26.15,1.979,0
45.5,39.22,32.99,93.77,265.41,152.14,19.03,1.075,0
78.47,80.13,78.76,218.13,534.95,230.52,57.19,4.162,1
54.99,62.87,51.36,120.12,356.49,170.0,28.27,2.169,0
61.06,52.94,58.47,169.52,226.31,176.05,17.67,1.323,0
52.09,57.59,54.76,117.57,229.6,178.73,23.18,1.602,0
51.17,58.68,53.86,122.57,287.94,186.99,30.92,1.625,0
69.01,58.66,54.93,103.09,324.46,215.0,27.78,3.329,1
72.48,64.29,62.29,209.18,502.83,221.98,38.95,3.598,1
51.53,43.79,58.03,83.41,225.07,176.57,16.24,1.458,0
50.26,50.47,64.28,96.16,324.25,200.61,23.8,2.539,0
50.35,43.4,52.57,114.03,266.56,177.19,21.46,1.449,0
46.45,38.41,62.1,103.15,249.81,164.04,30.4,2.269,0
65.94,56.71,71.24,183.9,315.03,212.89,40.88,2.933,1
53.22,56.23,52.78,115.36,366.29,168.54,24.78,1.628,0
50.89,53.2,58.33,97.42,256.0,187.94,26.73,1.933,0
56.8,52.66,47.62,136.86,295.7,161.28,24.17,1.332,0
48.48,39.94,59.44,101.4,330.54,167.44,31.17,0.626,0
60.86,57.59,50.86,121.54,372.15,187.97,20.67,2.215,0
75.57,65.79,65.16,191.82,578.25,231.47,59.2,3.415,1
59.59,61.26,67.02,146.94,286.07,192.59,31.75,3.038,0
45.9,26.2,50.52,63.94,157.54,139.58,14.25,1.518,0
47.69,39.43,53.06,103.34,306.46,146.2,22.94,0.888,0
67.94,64.37,53.99,161.75,424.0,213.34,48.38,3.744,1
41.83,34.57,44.89,103.07,81.33,166.14,20.99,1.609,0
74.89,68.84,83.07,225.33,574.16,244.07,48.85,4.279,1
63.12,52.72,57.3,142.93,474.25,207.28,36.4,3.886,1
69.53,64.51,65.7,170.85,384.31,234.28,45.32,2.655,1
50.42,51.41,39.2,143.73,313.27,156.23,20.12,1.657,0
82.04,79.55,83.65,225.26,564.46,274.79,39.86,4.122,1
46.17,39.28,41.91,109.49,193.04,141.04,15.38,0.903,0
48.3,42.5,57.45,76.59,256.77,154.07,30.19,1.23,0
43.42,29.14,34.47,85.44,150.16,142.04,16.46,1.121,0
53.76,49.95,62.51,137.59,151.41,174.91,18.62,2.123,0
72.11,72.55,61.19,133.49,357.57,236.29,34.28,3.275,1
42.53,15.67,30.83,83.85,121.29,132.6,17.0,1.599,0
47.11,25.56,51.73,93.02,215.7,143.12,20.96,0.637,0
47.48,46.49,59.78,125.61,209.08,157.45,22.18,1.6,0
36.14,19.79,31.37,60.44,242.03,142.75,20.97,1.17,0
52.71,39.12,40.92,92.33,164.82,145.87,31.5,1.295,0
54.85,58.8,71.73,183.44,365.61,164.07,23.93,2.53,0
45.22,27.63,49.04,44.58,146.11,138.83,15.02,1.028,0
80.29,80.19,87.61,240.16,719.91,246.3,63.08,5.063,1
74.41,73.97,42.56,131.04,361.76,237.71,52.64,3.493,1
43.44,33.89,44.81,104.42,256.22,173.3,21.64,1.718,0
66.96,74.66,69.58,135.16,384.62,194.7,35.08,2.66,0
78.88,85.29,86.59,246.87,555.82,248.59,66.25,5.512,1
53.12,42.18,56.81,183.61,341.56,176.26,40.15,3.836,1
55.01,49.67,53.75,93.53,329.51,169.84,22.92,1.318,0
52.3,29.36,39.79,87.89,171.33,156.65,19.69,1.275,0
45.12,40.05,30.51,70.81,278.23,160.18,9.18,1.063,0
51.88,49.18,52.92,143.52,351.11,183.33,35.83,1.953,0
57.26,70.63,64.57,190.54,550.0,192.08,36.24,2.641,0
45.84,31.34,23.58,84.09,158.11,168.52,14.15,0.897,0
71.45,85.54,66.73,238.79,534.64,237.7,58.62,3.357,1
45.61,54.57,27.59,76.99,89.52,173.08,20.5,2.081,0
44.84,37.41,29.26,97.73,185.44,175.3,15.45,0.732,0
50.47,54.61,41.15,97.48,290.46,182.57,26.82,1.986,0
51.44,47.1,44.44,142.48,306.82,161.45,23.85,1.597,0
81.82,75.03,80.77,220.28,416.56,229.95,49.57,3.557,1
44.89,31.48,60.38,107.7,234.69,154.21,15.67,2.053,0
79.18,77.63,48.01,200.13,579.55,232.26,70.08,3.917,1
56.27,54.29,64.74,128.49,342.67,191.44,50.03,4.046,1
47.76,42.99,32.34,53.4,165.2,165.58,15.12,1.052,0
44.42,38.52,42.48,115.82,155.91,159.41,20.37,2.088,0
59.93,62.59,58.38,153.96,346.69,194.43,25.0,1.916,0
45.97,41.81,42.11,84.67,202.75,146.62,16.0,0.769,0
54.86,42.72,52.18,75.12,167.34,168.27,28.79,1.986,0
40.23,30.52,44.46,91.62,147.4,143.23,10.03,1.406,0
76.8,71.61,68.63,188.19,382.55,221.13,55.75,4.037,1
46.87,35.61,37.68,49.71,285.24,155.31,19.83,1.458,0
45.87,38.81,45.45,109.19,298.7,154.96,18.35,0.909,0
58.01,54.86,57.57,171.22,193.17,182.35,26.76,2.191,0
50.95,66.21,63.31,135.64,312.8,181.34,32.01,2.4,0
74.64,60.79,72.85,198.42,461.95,201.26,53.21,3.053,1
44.09,55.81,42.52,106.59,285.54,178.05,27.08,2.416,0
49.35,44.24,50.36,105.01,274.8,167.98,17.34,1.603,0
48.95,54.44,67.4,142.38,292.11,179.11,31.63,1.925,0
45.26,18.76,39.22,95.15,141.36,143.27,20.02,1.49,0
63.19,73.52,67.52,154.32,386.24,214.63,34.92,2.388,0
50.47,50.98,51.47,158.59,314.33,154.49,27.68,1.586,0
52.08,45.95,69.11,144.11,269.22,157.8,28.52,2.525,0
43.2,42.52,39.44,65.09,277.62,156.16,27.23,0.74,0
44.27,46.75,35.18,104.53,194.58,166.02,29.9,1.132,0
45.51,36.29,49.26,81.3,283.28,142.06,25.01,1.741,0
67.68,66.96,77.14,187.07,404.43,247.32,48.15,4.46,1
53.28,45.26,52.05,115.2,268.88,155.18,21.67,1.303,0
53.19,46.78,51.42,75.48,194.95,157.49,16.1,1.496,0
49.46,48.49,53.39,145.72,346.06,167.47,15.49,1.956,0
55.98,59.45,56.16,138.09,282.89,194.43,24.38,1.194,0
44.94,34.81,53.81,91.85,280.09,133.93,24.37,1.754,0
47.08,28.82,40.2,56.65,166.95,164.07,14.31,0.869,0
49.77,48.83,36.12,44.93,224.14,168.49,22.24,1.161,0
75.62,73.61,81.66,185.8,529.87,229.0,55.09,4.718,1
66.14,71.91,73.7,218.55,594.89,230.45,50.99,4.105,1
47.85,33.0,52.82,94.84,238.91,162.21,20.54,2.296,0
51.89,57.36,66.89,103.7,164.28,172.69,21.41,1.807,0
50.9,37.51,37.54,117.41,227.75,155.85,15.43,2.236,0
78.95,76.98,84.18,220.67,658.74,231.16,48.59,3.586,1
57.04,60.23,55.99,143.76,350.91,175.05,38.61,2.406,0
46.13,37.8,50.25,66.02,282.38,167.11,23.34,1.709,0
51.76,54.95,76.69,135.14,371.7,173.7,19.87,1.602,0
61.15,65.77,75.51,151.49,421.69,209.06,31.33,2.679,0
42.54,45.04,62.03,99.58,136.91,166.19,25.64,1.207,0
44.08,45.99,55.99,118.54,161.26,156.08,23.65,2.049,0
44.49,40.49,52.78,81.81,118.23,168.99,20.93,1.26,0
58.75,64.07,61.57,156.87,367.32,197.05,30.31,1.028,0
50.14,42.07,32.07,65.04,245.0,158.08,29.92,0.852,0
52.35,48.47,53.14,136.87,267.57,166.31,29.08,1.409,0
70.62,76.36,86.81,188.71,544.96,260.78,39.13,3.672,1
75.15,66.24,72.83,165.46,453.93,220.66,49.95,3.693,1
48.28,35.14,33.19,121.47,203.97,164.76,21.73,1.437,0
77.67,82.97,77.54,182.89,477.16,242.51,33.52,5.245,1
79.93,81.6,84.06,271.13,573.5,260.17,50.17,4.018,1
54.1,53.75,48.1,100.2,241.38,175.39,20.72,0.916,0
51.5,34.43,41.26,66.72,196.83,166.14,20.18,1.033,0
48.6,40.68,54.3,115.0,161.62,169.36,22.3,1.528,0
77.25,73.19,71.51,136.98,352.17,225.63,46.82,4.32,1
51.11,42.98,59.02,95.73,271.39,165.45,26.13,2.808,0
49.45,41.76,57.37,99.52,350.35,167.12,24.07,1.692,0
51.68,38.99,48.81,39.56,253.0,164.32,17.56,0.642,0
44.35,26.07,41.75,57.48,144.32,140.14,21.67,1.28,0
45.22,38.75,44.88,65.34,110.17,154.22,22.51,2.182,0
50.42,49.28,44.77,108.77,283.16,168.54,25.65,1.413,0
55.39,49.95,38.63,78.77,366.29,174.89,23.1,1.297,0
52.01,49.75,61.29,128.42,371.23,187.93,26.01,2.834,0
79.53,78.63,73.48,195.21,536.6,237.89,49.98,4.803,1
47.97,44.07,41.43,94.38,231.33,160.62,22.36,1.438,0
55.32,63.49,56.01,126.93,304.5,194.33,25.9,1.658,0
70.84,55.44,53.83,167.71,353.06,209.25,42.48,3.32,1
42.19,37.08,35.1,78.78,62.32,164.43,15.9,0.664,0
52.8,51.59,60.0,112.23,200.47,181.03,20.76,1.567,0
46.34,36.69,25.27,69.83,175.77,175.23,23.13,1.002,0
51.79,51.5,59.73,114.38,274.99,187.08,28.29,1.124,0
66.56,60.14,79.13,151.37,528.32,213.79,55.82,4.605,1
58.06,52.42,65.52,135.93,313.95,185.65,21.8,1.785,0
55.26,66.76,46.64,160.57,283.23,192.4,29.07,1.505,0
51.53,38.05,60.93,123.83,336.78,159.64,22.5,2.166,0
53.14,36.16,51.94,189.58,319.12,189.61,37.72,3.115,1
59.35,67.1,72.64,162.06,482.01,217.16,35.43,2.733,0
52.09,54.29,63.52,75.7,254.31,175.28,24.33,2.03,0
80.21,79.82,65.62,182.1,497.2,254.49,47.78,3.41,1
41.83,37.9,53.7,64.68,124.8,137.03,17.54,0.993,0
66.76,74.58,73.33,170.29,468.86,216.07,31.2,2.439,0
77.0,74.46,90.12,215.91,629.62,224.14,58.79,4.722,1
75.45,70.83,77.51,151.76,452.63,242.9,47.91,4.004,1
59.85,57.7,64.74,135.88,330.64,207.41,25.78,1.3,0
57.73,66.33,65.35,141.86,411.01,179.66,24.85,1.974,0
57.79,54.29,50.8,182.48,429.29,175.25,25.8,1.838,0
55.21,47.95,62.61,135.64,306.82,192.44,14.06,1.606,0
70.25,69.16,64.24,168.92,377.5,223.31,45.68,3.653,1
47.82,49.94,40.26,152.48,226.67,180.53,15.77,0.742,0
71.75,76.86,59.55,196.51,488.25,223.57,42.88,3.15,1
54.98,69.13,66.06,114.38,361.23,190.75,27.72,1.986,0
46.84,37.26,44.27,88.65,61.55,148.59,15.88,1.766,0
76.36,72.47,76.45,249.28,549.91,222.93,47.57,2.384,1
68.11,71.31,83.67,181.6,548.8,222.23,43.48,3.914,1
44.51,47.7,46.91,99.95,203.19,165.32,24.73,1.77,0
63.26,59.67,53.19,164.09,383.21,193.21,26.49,2.064,0
49.22,45.48,40.97,57.59,260.68,175.76,24.78,0.888,0
54.23,42.86,59.21,168.12,283.44,186.95,28.49,1.667,0
53.3,55.99,58.76,112.05,307.75,190.5,24.23,2.986,0
52.93,44.18,66.55,127.91,357.04,157.62,29.83,0.805,0
55.68,60.15,68.34,126.26,508.09,190.72,30.23,1.828,0
61.17,54.55,87.61,144.89,425.22,221.57,55.28,3.613,1
44.67,34.49,28.4,92.69,238.34,139.87,19.08,1.485,0
53.42,54.91,68.85,110.66,185.47,158.92,25.94,2.01,0
42.52,25.82,47.03,78.7,66.36,141.84,19.26,1.433,0
70.82,56.4,61.51,141.93,522.02,200.36,42.2,3.618,1
46.39,51.68,64.56,113.83,189.21,167.89,26.36,1.59,0
70.43,80.1,91.44,197.01,385.19,217.75,38.71,5.234,1
42.24,20.37,45.17,93.68,249.42,128.51,19.28,1.189,0
51.81,49.48,49.23,118.29,323.93,187.47,10.79,1.381,0
67.96,66.51,77.82,162.0,408.76,212.81,46.94,4.596,1
54.53,51.0,38.72,145.54,214.01,197.73,17.92,2.236,0
46.02,27.51,33.14,90.66,79.49,143.84,16.75,1.351,0
64.51,56.19,55.0,165.0,365.34,209.73,29.63,3.516,1
44.98,32.55,41.05,84.38,260.1,176.47,18.29,1.065,0
50.63,55.06,56.79,81.5,336.04,174.26,22.05,2.461,0
82.81,74.2,76.19,180.58,560.01,230.0,58.11,4.223,1
49.8,57.4,52.97,135.19,321.82,192.26,24.3,2.401,0
60.47,63.79,58.83,117.06,272.62,176.86,31.85,2.222,0
50.08,44.44,52.96,79.09,251.26,161.6,23.5,1.049,0
82.97,91.16,84.39,206.98,737.03,258.44,55.21,4.166,1
45.75,49.28,57.2,149.66,185.74,173.87,25.55,1.963,0
52.24,55.04,56.9,123.66,288.64,175.95,32.8,2.502,0
40.51,32.61,49.82,49.58,98.64,139.42,23.8,1.493,0
56.18,59.28,57.84,149.19,320.86,201.67,30.89,1.684,0
56.35,66.07,77.12,164.8,357.9,208.3,25.87,2.567,0
42.65,15.9,28.49,54.13,148.86,128.02,9.71,0.995,0
57.94,72.77,62.24,148.54,372.48,203.51,29.24,2.474,0
69.55,64.61,60.48,123.14,321.93,227.98,52.26,4.759,1
51.98,41.83,41.57,78.34,278.68,181.18,26.79,1.322,0
69.62,63.8,64.52,182.9,426.43,230.52,37.81,4.358,1
48.38,52.63,56.35,128.05,300.46,174.37,19.18,1.392,0
39.83,23.63,35.12,84.81,107.06,134.37,20.18,2.361,0
52.4,48.17,48.24,105.63,211.98,170.71,17.83,1.263,0
57.84,49.6,50.85,122.99,295.72,175.27,24.41,2.167,0
55.16,50.25,65.53,130.56,229.79,173.6,16.76,2.29,0
68.87,40.78,46.3,147.95,378.28,190.66,59.25,3.486,1
48.19,49.6,53.3,78.69,318.79,192.48,16.37,1.584,0
55.75,37.73,43.27,95.5,204.45,161.0,14.5,1.3,0
51.34,66.2,50.71,124.5,329.07,194.93,22.12,1.013,0
43.64,33.14,30.78,63.57,186.98,164.53,12.47,0.481,0
52.03,42.72,46.58,50.69,88.16,167.76,13.67,2.393,0
49.77,36.91,47.51,94.01,283.53,173.11,23.75,1.87,0
48.23,41.85,37.19,106.43,245.55,166.02,26.83,2.128,0
46.4,44.94,61.28,101.16,195.55,176.17,20.68,1.083,0
68.87,74.21,74.12,193.12,632.79,229.33,64.75,4.205,1
42.21,37.09,49.35,92.48,165.42,156.82,19.34,1.467,0
77.65,82.14,68.48,155.71,588.26,260.5,51.89,4.875,1
53.9,42.94,43.02,32.13,325.02,164.62,19.79,1.496,0
66.88,61.04,80.68,148.94,407.23,216.8,40.21,3.626,1
70.5,59.27,75.04,262.36,585.33,220.12,45.83,4.06,1
70.54,60.38,84.05,188.41,395.58,213.32,49.4,4.432,1
78.02,88.5,88.93,248.18,426.33,236.29,57.8,4.823,1
69.35,72.38,80.2,147.31,449.76,216.71,46.01,4.122,1
47.79,43.21,42.84,71.75,27.62,163.0,16.16,1.381,0
65.34,61.63,54.24,156.78,319.17,218.55,51.26,3.193,1
49.3,41.42,54.54,91.95,199.23,176.74,16.6,0.507,0
57.19,60.3,49.33,149.1,416.78,194.13,29.36,1.71,0
58.77,59.46,66.82,153.81,448.89,186.59,27.23,2.357,0
42.72,23.34,18.11,90.15,133.56,155.71,18.74,0.7,0
50.69,34.16,44.47,82.83,252.59,147.92,21.72,1.119,0
53.49,53.92,56.25,110.54,216.98,172.82,14.25,2.047,0
76.22,71.16,84.04,209.92,542.33,235.77,46.61,3.584,1
77.12,70.42,69.92,194.87,537.97,238.23,46.8,2.762,1
51.72,39.09,34.48,107.78,226.83,166.5,19.94,0.553,0
50.98,35.08,28.8,101.31,284.09,153.06,22.01,1.17,0
48.84,44.42,35.98,81.19,228.25,171.73,20.16,1.349,0
76.73,82.53,71.71,268.66,573.32,250.73,46.13,4.586,1
55.71,52.57,66.98,131.37,300.31,173.63,27.56,2.017,0
45.35,42.68,51.66,94.58,129.29,180.69,15.11,1.387,0
78.69,90.05,98.59,231.36,685.17,253.05,59.71,5.419,1
78.76,82.65,60.17,231.15,549.29,233.27,66.73,5.416,1
61.49,72.08,83.8,148.47,357.13,214.11,26.46,2.549,0
57.82,63.2,79.67,113.64,384.81,197.98,30.34,2.159,0
48.25,34.41,41.96,81.48,110.18,158.55,18.46,1.246,0
77.51,80.75,81.71,215.71,664.79,217.91,56.53,5.034,1
56.93,65.03,72.73,165.44,292.61,190.22,19.51,2.403,0
44.6,34.94,45.68,88.66,180.81,152.57,18.44,1.86,0
40.42,38.67,43.66,111.67,149.72,151.49,21.25,1.509,0
54.1,47.52,60.16,120.52,402.93,177.03,23.17,1.708,0
70.67,53.07,49.81,139.42,319.48,192.52,44.34,3.139,1
64.42,67.53,57.08,83.42,234.88,207.2,47.86,3.845,1
83.57,67.96,56.7,186.33,549.79,220.8,43.14,4.191,1
48.62,41.96,55.7,123.46,348.81,172.75,20.69,1.705,0
46.03,25.0,38.64,95.37,156.17,142.55,20.82,1.443,0
51.71,45.56,51.85,146.07,241.13,169.04,18.83,1.36,0
69.16,68.29,81.43,228.31,717.41,225.95,46.01,3.585,1
44.35,37.11,34.25,61.03,237.81,157.09,19.16,0.548,0
59.74,60.3,77.11,163.6,359.05,199.61,23.22,2.103,0
60.37,73.88,61.47,147.59,335.41,195.92,28.74,3.259,0
47.56,38.26,27.29,88.04,185.62,156.79,15.1,1.611,0
38.55,30.74,38.38,67.04,158.93,148.85,18.3,1.042,0
73.74,72.17,67.69,204.17,488.05,220.19,50.56,4.52,1
53.19,51.99,53.33,106.47,255.05,165.76,29.99,1.182,0
60.05,78.87,64.0,189.98,331.96,217.9,26.17,2.197,0
53.13,56.82,70.25,155.91,401.04,182.24,26.53,2.639,0
77.14,68.92,69.5,173.4,563.38,234.46,46.41,4.64,1
44.09,42.78,46.81,104.51,325.51,159.83,24.24,1.364,0
50.85,42.85,41.18,89.86,121.79,160.83,10.28,1.243,0
56.08,60.7,44.3,140.43,357.12,181.64,29.19,0.978,0
56.78,54.59,41.57,139.25,259.35,187.45,32.6,1.745,0
48.87,63.4,45.64,146.11,382.49,179.38,31.75,2.143,0
74.21,70.86,95.74,218.43,522.16,205.41,48.42,4.502,1
57.22,47.09,64.62,107.14,298.43,163.66,23.1,2.469,0
46.9,39.47,44.91,119.26,116.25,147.73,23.15,1.441,0
42.53,39.46,37.56,103.64,279.76,146.37,24.32,1.268,0
48.81,37.46,42.14,93.77,259.95,169.12,23.53,2.299,0
71.73,75.61,80.85,239.34,498.01,222.12,52.01,4.715,1
67.38,69.58,80.96,207.1,519.8,220.92,47.88,4.878,1
79.36,86.34,81.92,247.75,631.51,260.3,54.48,5.509,1
39.62,33.48,36.95,82.35,183.71,151.41,23.23,1.432,0
55.6,52.99,56.59,135.64,323.29,182.48,27.37,2.389,0
51.06,44.56,52.4,100.7,276.74,177.72,14.82,1.339,0
64.97,46.16,46.71,106.37,322.12,168.71,41.81,2.544,1
40.52,29.68,53.36,71.51,137.13,155.07,24.06,1.912,0
45.25,50.25,49.49,122.19,203.8,166.86,20.02,2.265,0
46.07,32.73,59.93,70.17,209.75,149.47,28.31,2.628,0
48.76,36.15,47.81,52.53,196.73,170.36,19.76,1.807,0
72.18,71.03,79.29,198.11,464.95,210.72,49.28,4.264,1
52.13,46.72,52.82,93.19,190.71,167.24,25.13,1.331,0
79.28,80.49,93.02,193.31,541.48,231.9,50.56,5.146,1
73.64,60.48,73.67,149.11,541.55,224.7,54.65,4.175,1
41.81,24.03,42.47,89.84,126.72,134.89,20.56,1.95,0
51.27,38.68,50.49,96.58,251.33,162.1,19.31,1.345,0
61.44,57.95,77.03,144.87,325.56,186.85,26.38,2.418,0
52.62,47.34,44.41,119.1,155.88,160.79,30.68,1.279,0
73.93,56.69,71.22,202.53,584.32,197.5,43.67,3.681,1
48.27,33.43,48.75,123.64,275.8,159.77,18.36,0.744,0
49.1,31.97,41.46,58.29,194.39,163.54,14.63,2.026,0
75.27,77.6,68.79,198.81,549.98,260.2,51.79,3.361,1
